name	gene_ids	rule	module	group	notes
no3 to no2	k00370, k00371, k00374, k02567, k02568	[k00370 & k00371] | [k02567 & k02568]	inorganic nitrogen transformation	n reduction	nitrate reduction to nitrite can occur through either the membrane-bound nar system (k00370 and k00371, both required) or the periplasmic nap system (k02567 and k02568, both required). either system completes the nitrate transformation step.
dnra, no3 to nh4	k00370, k00371, k00374, k02567, k02568, k00362, k00363, k03385, k15876	[[k00370 & k00371] | [k02567 & k02568]] & [[k00362 & k00363] | [k03385 & k15876]]	inorganic nitrogen transformation	n reduction	dnra reduces nitrate to ammonium through a two-step process: nitrate reduction via nar or nap systems, followed by nitrite reduction via nrf or nir enzymes. presence of one nitrate reductase system and one nitrite reductase system indicates dnra capability.
no2 to no	k00368, k15864	k00368 | k15864	inorganic nitrogen transformation	n reduction	nitrite reduction to nitric oxide (no) is carried out by either nirs (k00368) or nirk (k15864). presence of either gene indicates capacity for nitrate/nitrite reduction in denitrification.
no to n2o	k02305, k04561, k15877	k04561 | k15877	inorganic nitrogen transformation	n reduction	the conversion of nitric oxide (no) to nitrous oxide (n₂o) is catalyzed by nitric oxide reductase, encoded by norb (k04561) in bacteria or cyp55 (k15877) in fungi. presence of either gene indicates the capacity to perform this denitrification step
assimilatory nitrate reduction	k00367, k10534, k00372, k00360, k17877, k00366, k26139, k26138, k00361, k02575	[[k00367 | k10534 | [k00372 & k00360]] & [k00366 | k17877 | [k26138 & k26139] | k00361]] | k02575	inorganic nitrogen transformation	n reduction	assimilatory nitrate reduction = nitrate → nitrite via narb or nr or nasab, and nitrite → ammonium via ferredoxin nira, nad(p)h forms, or the k26138/k26139 pair. presence of one option from each step indicates pathway capability.
no2 to no3	k00370, k00371	k00370 & k00371	inorganic nitrogen transformation	nitrification	aerobic nitrate oxidation (nitrite oxidation) is the second step of nitrification, where nitrite is oxidized to nitrate by the nxr complex (nxrab) under oxic conditions, completing the conversion of reduced nitrogen to its most oxidized form.
aerobic ammonium oxidation	k28504, k10945, k10946, k10535	[k28504 | k10945 | k10946] & k10535	inorganic nitrogen transformation	nitrification	aerobic ammonium oxidation converts ammonia to nitrite through sequential reactions catalyzed by ammonia monooxygenase and hydroxylamine oxidoreductase. presence of one ammonia monooxygenase subunit set and hydroxylamine oxidoreductase indicates this capability.
anaerobic ammonium	k00368, k15864, k20932, k20933, k20934, k20935	[k00368 | k15864] & [k20932 & k20933 & k20934] & k20935	inorganic nitrogen transformation	nitrification	anammox requires nitrite → no (nirk or nirs), hydrazine synthesis via hzs (hzsa/b/c), and hydrazine oxidation to n₂ by hdh.
n2 fixation	k00531, k02586, k02588, k02591, k22896, k22897, k22898, k22899	[k00531 & k02586 & k02588 & k02591] | [k22896 & k22897 & k22898 & k22899]	inorganic nitrogen transformation	nitrification	nitrogen fixation converts atmospheric n₂ to ammonium through the nitrogenase enzyme complex. functional capacity is indicated by the presence of all subunits for either the mo-nitrogenase (nif) or the v-nitrogenase (vnf) system, as either complete complex can catalyze n₂ reduction.
assimilation	k00261, k01915, k00982, k00266, k19338, k01914, k01953, k01916, k01956, k01955, k03320	[[k01915 & k00266] | k00261] | [k01955 & k01956]	inorganic nitrogen transformation	box 9	presence of ammonium assimilation genes indicates microbial potential to incorporate inorganic ammonium (nh₄⁺) into organic nitrogen compounds such as glutamate, glutamine, and asparagine. this process reflects nitrogen retention within biomass rather than oxidative or mineralization pathways, contributing to overall ecosystem nitrogen conservation.
ammonium transformation	k28504, k10944, k10945, k10946, k10535	[k28504 | k10944 | k10945 | k10946] & k10535	inorganic nitrogen transformation	primary n transformation	ammonium oxidation (nh₃ to no₂⁻) requires both ammonia monooxygenase (any of k28504, k10944, k10945, or k10946) and hydroxylamine oxidoreductase (k10535). presence of both indicates this process. note: k10944/k10945/k10946 are shared with the aerobic ch4 oxidation row and the presence of k10535 is the distinguishing marker confirming ammonium oxidation.
nitrate transformation	k00370, k00371, k00374, k02567, k02568, k00368, k15864	[[k00370 & k00371] | [k02567 & k02568]] & [k00368 | k15864]	inorganic nitrogen transformation	primary n transformation	nitrate transformation represents the combined capacity for nitrate (no₃⁻) reduction to nitrite (no₂⁻) and subsequent nitrite reduction to nitric oxide (no). it integrates both the nar/nap (nitrate reductase) and nir (nitrite reductase) steps, capturing the overall microbial potential to transform nitrate into reduced nitrogen intermediates.
urea transformation	k01428, k01429, k01430	k01428 & k01429 & k01430	organic nitrogen transformation	primary n transformation	urea hydrolysis requires the full urease enzyme complex, composed of subunits urea (k01430), ureb (k01429), and urec (k01428). all three genes are needed to complete urea transformation to ammonium and co₂.
chitinase degradation	k01207, k01183, k03791	k01183 | k03791 | k01207	organic nitrogen transformation	mineralization	presence of chitin degrading enzymes
amidase	k01426	k01426	organic nitrogen transformation	mineralization	presence of amidase enzyme
extracellular asparagine peptidases	n04, n10, n11	n04 | n10 | n11	organic nitrogen transformation	mineralization	presence of any extracellular asparagine peptidase
extracellular aspartic peptidases	a01, a02, a05, a08, a11, a22, a24, a26, a28, a31, a32, a37	a01 | a02 | a05 | a08 | a11 | a22 | a24 | a26 | a28 | a31 | a32 | a37	organic nitrogen transformation	mineralization	presence of any extracellular aspartic peptidase
extracellular cysteine peptidases	c01, c02, c10, c11, c110, c113, c13, c14, c15, c19, c25, c26, c39, c40, c44, c45, c46, c47, c51, c56, c59, c60, c66, c69, c82, c83, c89, c93	c01 | c02 | c10 | c11 | c110 | c113 | c13 | c14 | c15 | c19 | c25 | c26 | c39 | c40 | c44 | c45 | c46 | c47 | c51 | c56 | c59 | c60 | c66 | c69 | c82 | c83 | c89 | c93	organic nitrogen transformation	mineralization	presence of any extracellular cysteine peptidase
extracellular glutamic peptidases	g01	g01	organic nitrogen transformation	mineralization	presence of any extracellular glutamic peptidase
extracellular metallo peptidases	m01, m02, m03, m04, m05, m06, m07, m08, m09, m10, m11, m12, m13, m14, m15, m16, m17, m18, m19, m20, m23, m24, m26, m28, m30, m32, m34, m35, m36, m38, m41, m42, m43, m44, m48, m49, m50, m54, m55, m56, m57, m60, m61, m64, m66, m67, m72, m73, m74, m75, m76, m78, m79, m81, m82, m84, m85, m86, m88, m93, m96, m97, m98	m01 | m02 | m03 | m04 | m05 | m06 | m07 | m08 | m09 | m10 | m11 | m12 | m13 | m14 | m15 | m16 | m17 | m18 | m19 | m20 | m23 | m24 | m26 | m28 | m30 | m32 | m34 | m35 | m36 | m38 | m41 | m42 | m43 | m44 | m48 | m49 | m50 | m54 | m55 | m56 | m57 | m60 | m61 | m64 | m66 | m67 | m72 | m73 | m74 | m75 | m76 | m78 | m79 | m81 | m82 | m84 | m85 | m86 | m88 | m93 | m96 | m97 | m98	organic nitrogen transformation	mineralization	presence of any extracellular metallo peptidase
extracellular serine peptidases	s01, s06, s08, s09, s10, s11, s12, s13, s14, s15, s16, s24, s26, s28, s33, s37, s41, s45, s46, s49, s50, s51, s53, s54, s55, s59, s60, s66, s73	s01 | s06 | s08 | s09 | s10 | s11 | s12 | s13 | s14 | s15 | s16 | s24 | s26 | s28 | s33 | s37 | s41 | s45 | s46 | s49 | s50 | s51 | s53 | s54 | s55 | s59 | s60 | s66 | s73	organic nitrogen transformation	mineralization	presence of any extracellular serine peptidase
extracellular threonine peptidases	t01, t02, t03, t05, t07	t01 | t02 | t03 | t05 | t07	organic nitrogen transformation	mineralization	presence of any extracellular threonine peptidase
formamidase	k01455	k01455	organic nitrogen transformation	mineralization	presence of formamidase enzyme
mixed peptidases	p01	p01	organic nitrogen transformation	mineralization	presence of any extracellular mixed peptidase
unknown peptidases	u32, u62, u69, u72, u73, u74	u32 | u62 | u69 | u72 | u73 | u74	organic nitrogen transformation	mineralization	presence of any extracellular unknown catalytic type peptidase
assimilatory sulfate reduction to sulfide 	k00958, k00955, k00957, k00956, k05907, k00860, k00390, k00381, k00380, k00392	[k00958 | [[k00955 | k00956] & k00957]] & [k05907 | [[k00955 | k00860] & k00390]] & [k00381 | k00380 | k00392]	sulfur cycling	inorganic sulfur transformation	for a genome to have assimilatory sulfate reduction metabolism it should encode a sulfate adenylyltransferase (sat-k00958, or cysnd-(k00955+k00957 or k00956+k00957)), apr reductase (k05907) or cysc+cysh (k00955 or k00860 + k00390), and cysi, cysj, or sir for final reduction of sulfite to sulfide (k00381,k00380, or k00392). presence of these genes indicates capacity to assimilate inorganic sulfate into organic biomass. 
dissimilatory oxi/red sulfate to sulfite	k00958, k00394, k00395	k00958 & k00394 & k00395	sulfur cycling	inorganic sulfur transformation	for a genome to have dissimilatory reduction or oxidation capability between sulfate and sulfite it should encode sulfate adenylyltransferase (sat, k00958) and adenylylsulfate reductase (aprab, k00394+k00395) for redox transitions between sulfite and sulfide. 
dissimilatory oxi/red sulfite to sulfide 	k11180, k11181, k00385	[k11180 & k11181] | k00385	sulfur cycling	inorganic sulfur transformation	for a genome to have dissimilatory reduction or oxidation capability between sulfite and sulfide it should encode dissimilatory sulfite reductase subunits (dsra and dsrb, k11180 and k11181) or the asrc sulfite reductase (k00385). presence of asrc rather than dsrab suggests anaerobic sulfite reduction without possibility for oxidative capacity. with the presence of dsrab it's recommended to investigate the dsrab operon and phylogenies of the dsra and dsrb placement is recommended for confirmation of reduction/oxidation capacity. 
elemental sulfur reduction	k17219, k17220, k17221	k17219 & k17220 & k17221	sulfur cycling	inorganic sulfur transformation	for a genome to have elemental sulfur reduction capability, it should encode: the sulfur reductase complex (srea-k17219, sreb-k17220, srec-k17221). presence indicates capacity to use elemental sulfur (s⁰) as a terminal electron acceptor under anaerobic conditions.
thiosulfate reduction	k08352, k08353, k08354, k11180, k11181, k00385	k08352 & [[k11180 & k11181] | k00385]	sulfur cycling	inorganic sulfur transformation	for a genome to have thiosulfate reduction capability it should encode phsa-k08352 (extra confirmation comes from presence of phsb+c,k08353+k08354) alongside catalytic subunits dsrab (k11180 and k11181) or asrc (k00385) for final reduction to sulfide. the homology of phsabc genes should be investigated to determine substrate (i.e. thiosulfate vs polysulfide) specificity, distinguishing between phsabc and psrabc. 
dms/dmsp cycling	k28073, k16953, k28067, k28068, k28069, k28072, k17486, k20034, k20035, k20036, k16967, k16964, k18277, k07306, k07307, k00184, k07308, k00185, k07811	k28073 | k16953 | k28067 | k28068 | k28069 | k28072 | k17486 | [k20034 & k20035 & k20036] | k16967 | k16964 | k18277 | [k07306 & [k07307 | k00184] & [k07308 | k00185]] | k07811	sulfur cycling	organic sulfur transformation	for a genome to have organosulfur cycling capacity it should encode ≥1 enzyme for transforimg at least one of the following substrates: dmsp,dms,dmso,methanethiol,dmsop,mmpa . key enzymes and their substrates include: dmsp lyases (dddd-k28073, dddl-k16953, dddp-k28067, dddw-k28068, dddy-k28069, dddx-k28072) producing dms from dmsp. dmsp demethylase (dmda-k17486) producing mmpa from dmsp. mmpa demethylation enzymes,dmdbcd (k20034+k20035+k20036), producing methanethiol from mmpa. dms monooxygenase (dmoa-k16967) producing methanethiol from dms. dms dehydrogenase (ddha-k16964) or trimethylamine monooxygenase (tmm-k18277) oxidizing dms to dmso. dmso reductase complex, dmsabc (k07306 +k07307 or k00184 +k07308 or k00185), or trimethylamine n-oxide reductase (tora-k07811) reducing dmso back to dms. 
[fefe] group_a hydrogenase	fefe_group_a_hydrogenase	hmm@fefe_group_a_hydrogenase	energy metabolism	[fefe] hydrogenases	presence of [fefe] group_a hydrogenase
[fefe] group_b hydrogenase	fefe_group_b_hydrogenase	hmm@fefe_group_b_hydrogenase	energy metabolism	[fefe] hydrogenases	presence of [fefe] group_b hydrogenase
[fefe] group_c hydrogenase	fefe_group_c_hydrogenase	hmm@fefe_group_c_hydrogenase	energy metabolism	[fefe] hydrogenases	presence of [fefe] group_c hydrogenase
[fefe] group_e hydrogenase	fefe_group_e_hydrogenase	hmm@fefe_group_e_hydrogenase	energy metabolism	[fefe] hydrogenases	presence of [fefe] group_e hydrogenase
[fefe] group_f hydrogenase	fefe_group_f_hydrogenase	hmm@fefe_group_f_hydrogenase	energy metabolism	[fefe] hydrogenases	presence of [fefe] group_f hydrogenase
[nife] group_1 hydrogenase	nife_group_1_hydrogenase	hmm@nife_group_1_hydrogenase	energy metabolism	[nife] hydrogenases	presence of [nife] group_1 hydrogenase
[nife] group_2 hydrogenase	nife_group_2_hydrogenase	hmm@nife_group_2_hydrogenase	energy metabolism	[nife] hydrogenases	presence of [nife] group_2 hydrogenase
[nife] group_3 hydrogenase	nife_group_3_hydrogenase	hmm@nife_group_3_hydrogenase	energy metabolism	[nife] hydrogenases	presence of [nife] group_3 hydrogenase
[nife] group_4 hydrogenase	nife_group_4_hydrogenase	hmm@nife_group_4_hydrogenase	energy metabolism	[nife] hydrogenases	presence of [nife] group_4 hydrogenase
arsenic	k07755, k08356, k08355, k00537, k03741, k11811, k03892, k03325, k01551, k03893, arsd, aior-aoxr, aios-aoxs	k07755 | k08356 | k08355 | k00537 | k03741 | k11811 | k03892 | k03325 | k01551 | k03893 | hmm@arsd | hmm@aior-aoxr | hmm@aios-aoxs	heavy metal tolerance	box 16	presence of arsenic resistance, oxidation, reduction, methylation, and efflux genes (ars, aio) indicates microbial potential for arsenic detoxification and transformation. includes oxidation (aioa/b), reduction (arsc), methylation (arsm), efflux (arsa/b/d), and regulation (arsr, aior/s).
cadmium	k21903, k21885, k07665, k07644, k02483, k22043, k03088, k24079, k24078, cadd, k15726, k15727, k15725, cznb, k21133, dmef, k08970, k16264, k01534	k21903 | k21885 | k07665 | k07644 | k02483 | k22043 | k03088 | k24079 | k24078 | hmm@cadd | k15726 | k15727 | k15725 | hmm@cznb | k21133 | hmm@dmef | k08970 | k16264 | k01534	heavy metal tolerance	box 16	presence of cadmium-associated resistance, regulation, and efflux genes indicates microbial potential for detoxification of cd²⁺ via efflux pumps (czc, czn, zitb, znta), transcriptional control (cadx, cmtr, czra, cusr/s), and sequestration or transport (cadd, dmef, cnr system), contributing to cadmium tolerance.
