name	rule	module	group	notes	gene_ids
Anaerobic Methane Oxidation (ANME)	HMM@McrA & [tax(g__Methanocomedens_A) | tax(g__Methanocomedens_B) | tax(g__Methanogaster_A) | tax(g__Methanogaster_B) | tax(g__Methanoperedens_A) | tax(g__Methanoperedens) | tax(g__ANME-1-THS) | tax(g__ANME1a) | tax(g__G60ANME1) | tax(g__Methanophaga) | tax(g__Methanovorans) | tax(g__Methanomarinus) | tax(g__Methanoxibalbensis) | tax(g__Methanospirare)]	Methane Production & Consumption	Methane Oxidation	Anaerobic oxidation of methane by ANME archaea; requires McrA with mandatory taxonomic filter for ANME genera. Taxonomy is essential to distinguish ANME from methanogens which share McrA.	K00399, K00401, K00402, K03421, K03422,McrA
Aerobic Methane Oxidation	HMM@pmoa_actinobacteria_chloroflexota | HMM@pmoa_alpha_1 | HMM@pmoa_alpha_2 | HMM@pmoa_crenothrix | HMM@pmoa_gamma | HMM@pmoa_methyl_eth | HMM@pmoa_methylomirabilis | HMM@pmoa_verr	Methane Production & Consumption	Methane Oxidation	Aerobic oxidation of methane via particulate methane monooxygenase (pMMO); HMMs cover diverse methanotroph lineages including Alphaproteobacteria, Gammaproteobacteria, NC10, Verrucomicrobia, and Actinobacteria. Relevant in oxic zones of engineered systems receiving methane inputs.	K16157, K16158, K16159, K16160, K16161, K16162, K10944, K10945, K10946, HMM@pmoa_actinobacteria_chloroflexota, HMM@pmoa_alpha_1, HMM@pmoa_alpha_2, HMM@pmoa_crenothrix, HMM@pmoa_gamma, HMM@pmoa_methyl_eth, HMM@pmoa_methylomirabilis, HMM@pmoa_verr
Fermentative H2 (FeFe)	HMM@FeFe_groupA | HMM@FeFe_groupB | HMM@FeFe_groupC | HMM@FeFe_groupE | HMM@FeFe_groupF	Hydrogen Use	FeFe Hydrogenases	FeFe hydrogenases; primarily fermentative H2 production across all subgroups. Group A is the most common fermentative H2-producing hydrogenase; Group B is electron-bifurcating; Group C is putatively sensory; Groups E and F are found in anaerobic fungi and diverse anaerobes. All subgroups associated with anaerobic fermentative metabolism.	FeFe_groupA, FeFe_groupB, FeFe_groupC, FeFe_groupE, FeFe_groupF
H2 Metabolism - NiFe Group 1	HMM@NiFe_group1	Hydrogen Use	NiFe Hydrogenases	NiFe group 1 hydrogenases; membrane-bound, predominantly H2 uptake linked to respiratory electron transport chain. Most characterized members are H2-consuming; functional inference for uncharacterized members is based on phylogeny. Key for cathodic depolarization MIC and energy conservation in H2-rich systems including underground hydrogen storage.	NiFe_group1
H2 Metabolism - NiFe Group 2	HMM@NiFe_group2	Hydrogen Use	NiFe Hydrogenases	NiFe group 2 hydrogenases; putative sensory/regulatory function detecting environmental H2 concentrations and regulating expression of other hydrogenases. Do not contribute directly to energy conservation. Functional characterization is limited relative to other NiFe groups.	NiFe_group2
H2 Metabolism - NiFe Group 3	HMM@NiFe_group3	Hydrogen Use	NiFe Hydrogenases	Cytoplasmic bidirectional NiFe hydrogenases capable of both H2 production and consumption depending on prevailing redox conditions. Involved in NADH and ferredoxin redox balancing during fermentation and anaerobic metabolism. The bidirectional nature means functional direction cannot be inferred from gene presence alone and is condition-dependent.	NiFe_group3
H2 Metabolism - NiFe Group 4	HMM@NiFe_group4	Hydrogen Use	NiFe Hydrogenases	Membrane-bound energy-conserving NiFe hydrogenases primarily involved in H2 evolution, coupled to ion pumping for energy conservation under anaerobic conditions. Found in strict anaerobes, acetogens, and methanogens. Relevant in anaerobic digesters, shale systems, and underground hydrogen storage where H2 production by microbial communities affects system chemistry and storage integrity.	NiFe_group4
Ammonia Oxidation to Nitrite (Nitrification)	[K28504 | K10945 | K10946 | HMM@amoa_beta | HMM@amoa_gamma | HMM@amoa_crenarchaea] & K10535	Nitrogen Cycling	Nitrification+E27	Aerobic oxidation of ammonia to nitrite; first step of canonical two-step nitrification. Requires ammonia monooxygenase (amoA; K28504, K10945, K10946, or AmoA HMMs for beta/gammaproteobacterial and archaeal AOB) plus hydroxylamine oxidoreductase (hao; K10535). AmoA HMMs provide better phylogenetic resolution than K numbers alone. Excludes comammox Nitrospira which has a distinct AmoA lineage captured separately.	K28504, K10945, K10946, amoa_beta, amoa_gamma, amoa_crenarchaea, K10535
Nitrite Oxidation to Nitrate (Nitrification)	HMM@NXR	Nitrogen Cycling	Nitrification	Aerobic oxidation of nitrite to nitrate; second step of nitrification via nitrite oxidoreductase (NXR). HMM-based detection is more specific than K number alone due to paralog confusion between NXR and NarGH.	K00370, K00371
Anaerobic Ammonia Oxidation (Anammox)	[K00368 | K15864] & [K20932 & K20933 & K20934] & K20935	Nitrogen Cycling	Anammox	Anaerobic ammonium oxidation to dinitrogen gas. Requires nitrite reduction to NO (NirS K00368 or NirK K15864), hydrazine synthase complex (hzsA K20932, hzsB K20933, hzsC K20934 — all three required), and hydrazine dehydrogenase (hdh K20935). The HZS complex is essentially unique to anammox Planctomycetes making this a highly specific rule.	K00368, K15864, K20932, K20933, K20934, K20935
Complete Ammonia Oxidation (Comammox)	HMM@amoa_Nitrospira_beta & [K00370 | K00371] & K20935	Nitrogen Cycling	Comammox	Complete ammonia oxidation to nitrate by a single organism (comammox Nitrospira). Distinguished from canonical nitrification by the phylogenetically distinct comammox AmoA (HMM@amoa_Nitrospira_beta). Also requires nitrite oxidoreductase (nxr; K00370 or K00371) and hydrazine dehydrogenase (K20935) or equivalent. First predicted and confirmed in engineered systems including drinking water distribution systems, wastewater biofilters, and slow sand filters.	amoa_Nitrospira_beta, K00370, K00371, K20935
Nitrate Reduction to Nitrite	HMM@NarG | [K02567 & K02568]	Nitrogen Cycling	Denitrification	First step of denitrification via membrane-bound nitrate reductase (NarGHI; HMM@NarG) or periplasmic nitrate reductase (NapAB; K02567, K02568). Also relevant in produced water injection systems where nitrate is added for souring control.	K00370, K00371, K00374, K02567, K02568
Nitrite Reduction to NO	K00368 | K15864	Nitrogen Cycling	Denitrification	Second step of denitrification via NirS (cd1-type nitrite reductase; K00368) or NirK (copper-type nitrite reductase; K15864).	K00368, K15864
NO Reduction to N2O	K04561 | K15877	Nitrogen Cycling	Denitrification	Third step of denitrification via nitric oxide reductase — cNOR (K04561) or qNOR (K15877).	K04561, K15877
N2O Reduction to N2	K00376	Nitrogen Cycling	Denitrification	Final step of complete denitrification via nitrous oxide reductase (nosZ; K00376). Presence indicates complete denitrification capacity. Absence with upstream denitrification genes present indicates N2O-producing incomplete denitrifier.	K00376
DNRA (NO3 to NH4)	[[K00370 & K00371] | [K02567 & K02568]] & [[K00362 & K00363] | [K03385 & K15876]]	Nitrogen Cycling	DNRA	Dissimilatory nitrate reduction to ammonium via nitrate reductase (NarGH K00370/K00371 or NapAB K02567/K02568) plus nitrite reductase (NrfAB K00362/K00363 or NirBD K03385/K15876). Competes with denitrification for nitrate; retains nitrogen in system rather than releasing N2.	K00370, K00371, K00374, K02567, K02568, K00362, K00363, K03385, K15876
Iron/Manganese/Selenium Reduction	[[Fe@MtrA & Fe@MtrB_TIGR03509 & Fe@MtrC_TIGR03507] | Fe@omcF | Fe@omcS | Fe@omcZ | Fe@FmnA | [Fe@ExtA_pcc_cyt | Fe@ExtB_porin | Fe@ExtC_pcc_lp_cyt | Fe@ExtD_pcc_lp_cyt]]	Metals	Metal Cycling	Dissimilatory Fe(III), Mn(IV), and Se(VI) reduction via outer membrane cytochrome systems. The Mtr system (MtrCAB; Fe@MtrA, Fe@MtrB_TIGR03509, Fe@MtrC_TIGR03507) and Omc cytochromes (Fe@omcS, Fe@omcZ, Fe@omcF) are the primary systems in Shewanella and Geobacter respectively. ExtABCD system found in other iron reducers. No unique diagnostic gene distinguishes Fe(III) from Mn(IV) or Se(VI) reduction — the same EET machinery reduces all three. HMMs from DRAM Fe@ database.	MtrA, MtrB_TIGR03509, MtrC_TIGR03507, omcF, omcS, omcZ, FmnA, ExtA_pcc_cyt, ExtB_porin, ExtC_pcc_lp_cyt, ExtD_pcc_lp_cyt
Iron Oxidation	[Fe@Cyc2 | Fe@PioA | [Fe@MtoA & Fe@MtoB] | [Fe@FoxE & Fe@FoxY & Fe@FoxZ]]	Metals	Metal Cycling	Ferrous iron oxidation for energy conservation. Cyc2 (outer membrane cytochrome, broad iron oxidizers; Fe@Cyc2), MtoAB (neutrophilic iron oxidizers; Fe@MtoA & Fe@MtoB), FoxEYZ (acidophilic iron oxidizers; Fe@FoxE & Fe@FoxY & Fe@FoxZ), PioA (photoferrotrophic iron oxidation; Fe@PioA). HMMs from FeGenie database.	Cyc2, PioA, MtoA, MtoB, FoxE, FoxY, FoxZ
Arsenate Reduction (Respiratory)	K08355 & K08356	Metals	Metal Cycling	Respiratory arsenate reduction via the ArrAB complex (arrA K08355, arrB K08356); uses As(V) as terminal electron acceptor for anaerobic energy conservation. Distinct from detoxification arsenate reductase (arsC) which reduces As(V) to As(III) solely for efflux. Found in diverse anaerobes including Shewanella, Chrysiogenes, and Sulfurospirillum. Relevant in arsenic-rich subsurface and produced water systems.	K08355, K08356
Arsenite Oxidation	K08356 & K08355	Metals	Metal Cycling	Arsenite oxidase large subunit (aioA/aoxB; K08356) and small subunit (aioB/aoxA; K08355) oxidize As(III) to As(V). Can serve as lithotrophic energy conservation (electrons feed into quinone pool) or as detoxification. Both subunits required. Note: K08355 and K08356 are shared with respiratory arsenate reduction (arrAB) due to KEGG numbering ambiguity — interpret in genomic context.	aioA, K08356, aioB, K08355
Extracellular Electron Transfer (EMIC)	[Fe@MtrA & Fe@MtrB_TIGR03509 & Fe@MtrC_TIGR03507] | Fe@omcS | Fe@omcZ	Metals	Metal Cycling	Direct extracellular electron transfer (EET) from metal surface to microbial cell; primary mechanism of electrical MIC (EMIC). Mtr system (MtrCAB) in Shewanella requires all three subunits; OmcS and OmcZ are outer membrane cytochromes in Geobacter sufficient alone. Overlaps with Fe/Mn reduction rule — interpret in context of biofilm presence and metal surface contact.	MtrA, MtrB_TIGR03509, MtrC_TIGR03507, omcS, omcZ
Iron Acquisition (Ferrous, Feo)	[Fe@FeoB_N | Fe@FeoB_C | Fe@FeoB_gate] & Fe@FeoA	Metals	Iron Acquisition	Ferrous iron (Fe2+) uptake via the Feo system. FeoB_N, FeoB_C, FeoB_gate are domains of the same FeoB GTPase-gated membrane channel — any domain detection indicates FeoB presence. FeoA is the small accessory cytoplasmic protein required alongside FeoB. Primary Fe(II) uptake route under anaerobic/microaerobic conditions. HMMs from FeGenie.	FeoA, FeoB_N, FeoB_C, FeoB_gate
Iron Acquisition (Ferric, Fbp/Fut)	at_least(2, PRESENCE, [Fe@FbpA, Fe@FbpB, Fe@FbpC]) | [Fe@FutC & [Fe@FutA1 | Fe@FutA2]]	Metals	Iron Acquisition	Ferric iron (Fe3+) ABC transport systems. FbpABC (heterotrophic bacteria; requires at least 2 of 3 subunits for confident call). FutABC (cyanobacteria; requires ATPase FutC plus at least one substrate-binding protein FutA1 or FutA2). Relevant under oxic or iron-limited conditions. HMMs from FeGenie.	FbpA, FbpB, FbpC, FutA1-iron_ABC_transporter_iron-binding-rep, FutA2-iron_ABC_transporter_iron-binding-rep, FutC-iron_ABC_transporter_ATPase-rep
Arsenic Resistance	[arsC | K00537 | K03741] & [arsB | K03893 | acr3 | K03325]	Metals	Metal Detox	Arsenate detoxification via arsenate reductase (arsC; K00537 glutaredoxin-type or K03741 thioredoxin-type) reducing As(V) to As(III), coupled with arsenite export via ArsB (K03893) or Acr3 (K03325) efflux pumps. ArsA ATPase (K01551) and ArsH (K11811) provide additional resistance capacity. Not respiratory — distinct from arrAB respiratory arsenate reduction in Metal Cycling.	K00537, K03741, K03893, K03325, K01551, K11811
Arsenic Methylation	K07755	Metals	Metal Detox	Arsenite S-adenosylmethionine methyltransferase (arsM; K07755) detoxifies arsenic via sequential methylation to organoarsenicals (monomethylarsenic, dimethylarsenic, trimethylarsine gas). Distinct detoxification strategy from efflux — volatilizes arsenic. Found in diverse bacteria and archaea including methanogens.	K07755
Copper Resistance	[copA | K17686 | copB | K01533 | [[cusA-ybdE | K07787] & [cusB | K07798] & [cusC-ylcB | K07796]]] & [cueO | K14588 | mco | K22552 | cusF-cusX | K07810]	Metals	Metal Detox	Copper efflux via P-type ATPases (copA K17686 Cu+, copB K01533 Cu2+) or CusCBA RND efflux system (K07787, K07798, K07796) combined with periplasmic detoxification via cuproxidase CueO (K14588), multicopper oxidase Mco (K22552), or chaperone CusF (K07810). CopC (K07156) and CopD (K07245) are additional resistance proteins.	copA|K17686, copB|K01533, cusA-ybdE|K07787, cusB|K07798, cusC-ylcB|K07796, cusF-cusX|K07810, cueO|K14588, copC|K07156, copD|K07245, mco|K22552
Mercury Resistance	[merA | K00520] & [merT | K08363 | merC | K19058 | merE | K19059 | merF]	Metals	Metal Detox	Mercuric reductase (merA; K00520) reduces ionic Hg(II) to volatile Hg(0) requiring mercury import via MerT (K08363), MerC (K19058), MerE (K19059), or MerF. MerP (K08364) is a periplasmic Hg-binding protein. merB (K00221) additionally cleaves organomercury compounds. merR (K08365) and merD (K19057) are regulatory. Note merF lacks a confirmed K number — included in gene names only.	merA|K00520, merB|K00221, merT|K08363, merP|K08364, merR|K08365, merC|K19058, merD|K19057, merE|K19059
Chromate Resistance	K07240 | K19784	Metals	Metal Detox	Chromate efflux transporter (chrA; K07240) and chromate resistance protein (chrB; K19784). ChrA actively exports chromate from the cell. Relevant in industrial and mining-influenced systems with chromate contamination.	K07240, K19784
Cadmium/Zinc/Cobalt Resistance	at_least(2, PRESENCE, [czcA | K15726, czcB | K15727, czcC | K15725]) | [zntA-yhhO | K01534] | [zitB-ybgR | K16264]	Metals	Metal Detox	Heavy metal efflux via CzcABC RND efflux system (K15726/K15727/K15725; at least 2 of 3 subunits required for metagenomic data) handling Cd/Zn/Co, ZntA P-type ATPase (K01534) for Zn/Cd export, or ZitB CDF transporter (K16264). CadX (K21903) and CzrB (K21133) are regulators.	czcA|K15726, czcB|K15727, czcC|K15725, zntA-yhhO|K01534, zitB-ybgR|K16264, cadX|K21903, czrB|K21133
Nickel/Cobalt Resistance	nrsA | K11326 | [rcnA-yohM | K08970] | K24079 | K24078 | [ctpD | K12951]	Metals	Metal Detox	Nickel and cobalt efflux via NrsA (K11326), RcnA/NicO family (K08970), CnrY (K24079) and CnrR (K24078) of the CnrYXH/CnrCBA system, or CtpD P-type ATPase (K12951). Relevant in stainless steel corrosion environments and industrial bioreactors where nickel leaches from equipment.	nrsA|K11326, rcnA-yohM|K08970, K24079, K24078, ctpD|K12951
Silver Resistance	silP | K23254 | silF | silE	Metals	Metal Detox	Silver efflux via SilP P-type ATPase (K23254); SilF and SilE are periplasmic silver-binding proteins. K number only confirmed for silP; silF and silE lack confirmed K numbers. Relevant in engineered systems using silver-based antimicrobials.	silP|K23254, silF, silE
Lead Resistance	pbrR | pbrT	Metals	Metal Detox	Lead resistance via PbrR transcriptional regulator and PbrT Pb(II) membrane transporter. pbrR and pbrT lack confirmed K numbers in current KEGG — gene name identifiers used. Rule requires HMM development for reliable detection.	pbrR, pbrT
Acetate Production	[[K00163 | K00161 | K00162 | K01568] & [K00163 | K00161 | K00162] & K00627] | [K00174 | K00175] | [[K00169 | K00170 | K00172 | K00189 | K00171 | K03737] & [K01905 | K22224 | K24012]] | [[K00163 | K00161 | K00162 | K01568] & K01568 & [K00138 | K00128 | K14085 | K00149 | K00129]] | K01895 | K01913	Fermentation End Products	Organic Acids	Acetate production via multiple fermentative routes: (1) oxidative decarboxylation of pyruvate to acetyl-CoA via pyruvate dehydrogenase (K00163, K00161, K00162), pyruvate ferredoxin oxidoreductase (K00174, K00175), or pyruvate formate lyase (K01568), followed by acetate release via acetate kinase/phosphotransacetylase (K01905, K22224, K24012); (2) direct aldehyde oxidation routes (K00138, K00128, K14085, K00149, K00129); or (3) acetyl-CoA hydrolysis (K01895, K01913).	K00163, K00161, K00162, K01568, K00627, K00174, K00175, K00169, K00170, K00172, K00189, K00171, K03737, K01905, K22224, K24012, K00138, K00128, K14085, K00149, K00129, K01895, K01913
Propionate Production	[[K01899 | K01900 | K01902 | K01903] & [K01847 | K01849 | K01848] & [K00140 | [K05606 & [K11264 | K03416 | K18426]]] & [K01895 | K01908]] | [K01026 & [K20626 | K20627] & [K00248 | K00232] & [K01895 | K01908]] | [[K01699 | K13919 | K13920] & K13922 & [K01895 | K01908]] | [K01206 | K01905 | K22224 | K24012] | [[K13788 | K00625 | K15024 | K13923 | K00169 | K00170 | K00172 | K00189 | K00171 | K00656] & [K00925 | K00932 | K19697]]	Fermentation End Products	Organic Acids	Propionate production via three routes: (1) methylmalonyl-CoA pathway involving succinyl-CoA intermediates (K01899, K01900, K01902, K01903, K01847, K01849, K01848, K00140, K01895, K01908); (2) acrylate pathway via lactate (K01026, K20626, K20627, K00248, K00232); or (3) propionyl-CoA pathway (K01699, K13919, K13920, K13922). Key fermentation product and syntrophic substrate.	K01899, K01900, K01902, K01903, K01847, K01849, K01848, K00140, K05606, K11264, K03416, K18426, K01895, K01908, K01026, K20626, K20627, K00248, K00232, K01699, K13919, K13920, K13922, K01206, K01905, K22224, K24012, K13788, K00625, K15024, K13923, K00169, K00170, K00172, K00189, K00171, K00656, K00925, K00932, K19697
Butyrate Production	[K00626 & [K00074 | K00022 | K07516 | K01825 | K01782 | K07514] & [K01692 | K01825 | K01782 | K07515 | K07514 | K07511 | K01715] & [K00209 | K17829] & [K01034 | K01035 | K19709]] | [[K00135 | K08324 | K00139 | K17761] & [K00043 | K08318 | K18120 | K18121] & K18122 & K14534 & [K00209 | K17829] & [K01034 | K01035 | K19709]] | [K01580 & [K13524 | K07250 | K14268 | K00823 | K16871] & [K00043 | K08318 | K18120 | K18121] & K18122 & K14534 & [K00209 | K17829] & [K01034 | K01035 | K19709]] | K01843	Fermentation End Products	Organic Acids	Butyrate production via multiple routes: (1) classical acetyl-CoA condensation pathway (K00626, K00074/K00022, K01692, K00209/K17829, K01034/K01035/K19709); (2) glutarate pathway (K00135/K08324/K00139/K17761, K00043/K08318/K18120/K18121, K18122, K14534); (3) lysine pathway (K01580, K13524/K07250/K14268/K00823/K16871); or (4) 4-aminobutyrate pathway (K01843).	K00626, K00074, K00022, K07516, K01825, K01782, K07514, K01692, K07515, K07511, K01715, K00209, K17829, K01034, K01035, K19709, K00135, K08324, K00139, K17761, K00043, K08318, K18120, K18121, K18122, K14534, K01580, K13524, K07250, K14268, K00823, K16871, K01843
Lactate Production	[[K00844 | K00886 | K08074 | K00918 | K12407 | K00845 | K25026] & [K01810 | K06859 | K13810 | K15916] & [K24182 | K00850 | K16370 | K21071 | K00918 | K00895] & [K01623 | K01624 | K01622 | K11645 | K16305 | K16306] & [[K00134 | K00150] & [K00927 | K01837] & [K01834 | K15633 | K15634 | K15635 | K01837]] & [K01689 | K27394 | K00873 | K12406] & K00016] | K00016 | [[K18124 | K18125 | K00115 | K19813 | K00117] & K01053 & K05308 & [K11395 | K18127] & K00016]	Fermentation End Products	Organic Acids	Lactate production via three routes: (1) complete glycolytic route followed by lactate dehydrogenase (K00016); (2) lactate dehydrogenase alone (K00016) as minimal call; or (3) PTS sugar system route (K18124/K18125/K00115/K19813/K00117 & K01053 & K05308 & K11395/K18127 & K00016). Lactate is a primary fermentation product in Firmicutes and relevant as MIC organic acid, SRB substrate, and electron donor.	K00016, K00844, K00886, K08074, K00918, K12407, K00845, K25026, K01810, K06859, K13810, K15916, K24182, K00850, K16370, K21071, K00895, K01623, K01624, K01622, K11645, K16305, K16306, K00134, K00150, K00927, K01837, K01834, K15633, K15634, K15635, K01689, K27394, K00873, K12406, K18124, K18125, K00115, K19813, K00117, K01053, K05308, K11395, K18127
Formate Production	K00656 | [K00122 & K00123] | at_least(2, PRESENCE, [K00124, K00125, K00126])	Fermentation End Products	Organic Acids	Formate production via pyruvate formate lyase (PFL; K00656) cleaving pyruvate to formate and acetyl-CoA under strictly anaerobic conditions, or via formate dehydrogenase — FDH-N subunits (K00122, K00123; both required) or FDH-H subunits (K00124, K00125, K00126; at least 2 required). Formate is a key interspecies electron/H2 carrier in syntrophic systems.	K00656, K00122, K00123, K00124, K00125, K00126
Succinate Production	[K00244 | K00245] & [K00246 | K00247]	Fermentation End Products	Organic Acids	Succinate production via fumarate reductase — catalytic subunits frdA/frdB (K00244, K00245) plus membrane anchor subunits frdC/frdD (K00246, K00247). Note fumarate reductase is also involved in other metabolisms beyond succinate production; interpret in context of broader fermentative metabolism.	K00244, K00245, K00246, K00247
Ethanol Production	[K01568 & [K00001 | K00121 | K13953]] | [[K00001 | K04072] & [K00128 | K00149] & K01895]	Fermentation End Products	Alcohols	Ethanol production via pyruvate formate lyase (K01568) plus alcohol dehydrogenase (K00001, K00121, K13953), or via acetaldehyde dehydrogenase (K00128, K00149) coupled with alcohol dehydrogenase (K01895/K04072). Relevant in industrial bioreactors, bioethanol systems, and as carbon source for other organisms in mixed communities.	K01568, K00001, K00121, K13953, K04072, K00128, K00149, K01895
Butanol Production	[K00100 | K00544] & [K00634 & [K00929 | K01896]]	Fermentation End Products	Alcohols	Butanol production via ABE fermentation pathway; requires butyryl-CoA formation (thiolase K00634 plus butyryl-CoA acetyltransferase K00929 or K01896) followed by reduction to butanol via butanol dehydrogenase (bdh; K00100) or NADH-dependent butanol dehydrogenase (K00544). Butyryl-CoA intermediate shared with butyrate pathway. Found predominantly in Clostridia.	K00100, K00544, K00634, K00929, K01896
Aerobic Alkane Degradation	AlkB | AlmA_GroupI | AlmA_GroupIII | [pBmoA & pBmoB & pBmoC] | at_least(2, PRESENCE, [sBmoX, sBmoY, sBmoZ]) | CYP153 | LadA_alpha | LadA_beta | LadB | [PrmA & PrmC]	Carbon Degradation	Aerobic Hydrocarbons	Aerobic oxidation of short to long-chain alkanes via monooxygenases. AlkB (alkane hydroxylase; short-to-medium chain), AlmA (flavin-binding monooxygenase; long-chain C20+), LadA alpha/beta (long-chain alkane monooxygenase; C15-C36), CYP153 (cytochrome P450), pBmo (particulate butane monooxygenase; C2-C9), sBmo (soluble butane monooxygenase complex; at least 2 of 3 subunits), PrmA/C (propane monooxygenase; both required). HMMs from CANT-HYD database.	AlkB, AlmA_GroupI, AlmA_GroupIII, pBmoA, pBmoB, pBmoC, sBmoX, sBmoY, sBmoZ, CYP153, LadA_alpha, LadA_beta, LadB, PrmA, PrmC
