name	alias	gene_ids	rule	module	group	notes
Pectin	Pectin	GH28, PL1, PL2, PL3, PL4, PL9, PL10, PL11, PL22, PL26, GH78, GH106, GH138, GH139, GH143, CE8, GH105, GH4, CE12, GH2	[GH28|PL1|PL2|PL3|PL4|PL9|PL10|PL11|PL22|PL26]&[GH78|GH106|GH105|GH4|GH2|GH138|GH139|GH143]&[CE8|CE12]	Carbon Transformations	Plant-derived Polymers	For a genome to have pectin degradation capability, it should encode: at least one backbone-cleaving hydrolase or lyase, one debranching or accessory enzyme, and one esterase for de-methylation or de-acetylation.
Vanillate	Vanillate	K03862 , K03863 , K15066 	K03862|K03863|K15066	Carbon Transformations	Aromatic monomers	Presence of either subunit of Vanillate monooxygenase or the vanillate O-Demethylase, which indicates ability to use vanillate
Syringate	Syringate	K15064	K15064	Carbon Transformations	Aromatic monomers	Presence of syringate-O-demethylase, which indicates ability to use syringate
4-Hydroxybenzoate	4-Hydroxybenzoate	K00481,EC:1.14.13.2,K04105,K20458,EC:6.2.1.27,EC:6.2.1.25,K04107,EC:1.1.7.11,K04108,K04109	[K00481|EC:1.14.13.2|K04105|K20458|EC:6.2.1.27|EC:6.2.1.25|K04107|EC:1.1.7.11|K04108|K04109]	Carbon Transformations	Aromatic monomers	Presence of p-hydroxybenzoate 3-monooxygenase or 4-hydroxybenzoate-CoA ligase and one subunit of  4-hydroxybenzoyl-CoA reductase, which indicates ability to use 4-hydroxybenzoate
4-Methoxybenzoate	4-Methoxybenzoate	K22553	K22553	Carbon Transformations	Aromatic monomers	Presence of 4-methoxybenzoate monooxygenase O-demethylating, which indicates ability to convert 4-methoxybenzoate to 4-hydroxybenzoate
Ferulic Acid	FerulicAcid	D00038,K12508,EC:6.2.1.34,K18383 	at_least(1, PRESENCE, [D00038,K12508,EC:6.2.1.34,K18383])	Carbon Transformations	Aromatic monomers	Presence of at least one of: FCS;feruloyl-CoA synthetase,  feruloyl-CoA hydratase/lyase; this indicates an ability to utilize ferulate
Coumarate	Coumarate	D00039	D00039	Carbon Transformations	Aromatic monomers	Presence of sam5;flavonoid hydroxylase, which indicates ability to use coumarate
Caffeic Acid	CaffeicAcid	D00014,K22432,D00015,,22431,D00016,K22430,EC:1.3.1.108,D00017,D00018	at_least(2, PRESENCE, [D00014,K22432,D00015,K22431,D00016,K22430,EC:1.3.1.108,D00017,D00018])	Carbon Transformations	Aromatic monomers	Presence of at least two of the CarABCDE genes hydrocaffeyl-CoA:caffeate CoA transferase, caffeyl-CoA synthetase, caffeyl-CoA reductase, electron flavoproteins A and B; this indicates ability to use caffeic acid
Gallic Acid	GallicAcid	K22958,K22959,K22960	at_least(2, PRESENCE, [K22958, K22959, K22960])	Carbon Transformations	Aromatic monomers	Presence of at least two of the subunits of gallate decarboxylase, indicating ability to use gallic acid/gallate
Protocatechuic Acid	ProtocatechuicAcid	K04100,K04101,K10219,EC:1.1.1.312,K10221, K10220,K16515, K10218,K16514   K00448, EC:1.13.11.3,K00449,K01607,EC:4.1.1.44,K01857,EC:5.5.1.2,K01055, EC:3.1.1.24,K01031 	[at_least(1, PRESENCE, [K04100,K04101]) & at_least(2, PRESENCE, [K10219, EC:1.1.1.312, K10221, K10220, K16515,  K10218, K16514 ])] | [at_least(1, PRESENCE, [K00448,EC:1.13.11.3, K00449]) & at_least(2, PRESENCE, [K01607, EC:4.1.1.44, K01857, EC:5.5.1.2, K01055, EC:3.1.1.24, K01031])]	Carbon Transformations	Aromatic monomers	Presence of at least one of the chains alpha, beta of the protocatechuate 4,5-dioxygenase or presence of at least one the subunits alpha,beta of protocatechuate 3,4-dioxygenase. This indicates ability to use protocatechuic acid/protocatechuate
Catechol	Catechol	K03381,EC:1.13.11.1,K01856,EC:5.5.1.1,K03464,EC:5.3.3.4,K01055,EC:3.1.1.24,K01031 , K00446,K07104,K10216 ,K10217,K01617,K01821,K02554,K01666,K18364,K18365	[[K03381|EC:1.13.11.1] & at_least(2, PRESENCE, [K01856, EC:5.5.1.1,K03464,EC:5.3.3.4,K01055,EC:3.1.1.24,K01031])] | [at_least(1, PRESENCE, [K00446,K07104]) & [K10216 | at_least(1, PRESENCE, [K10217,K01617,K01821]) ] & at_least(1, PRESENCE, [K02554,K01666,K18364,K18365])]	Carbon Transformations	Aromatic monomers	Presence of catechol dioxygenase or catechol 2,3-dioxygenase , either indicating an ability to use catechol
Flavones	Flavones	D00001,K26178, D00003,K26177,EC:5.5.1.6, D00006,K22906,EC:3.7.1.4, D00009,K26176	at_least(2, PRESENCE, [D00001,K26178,D00003,K26177,EC:5.5.1.6,D00006,K22906,EC:3.7.1.4,D00009,K26176])	Carbon Transformations	Aromatic monomers	Presence of at least two of the following: flavone/flaonol reductase, flavanone/flavanonol-cleaving reductase, chalcone isomerase, phloretin hydrolase. this demonstrates ability to break down a flavone compound.
Methanol	Methanol	K14028 , K14029 , K23995	K14028|K14029|K23995	Carbon Transformations	Alcohol	For a genome to have methanol oxidation capability, it should encode at least one subunit of methanol dehydrogenase
Alcohol/Ethanol	Alcohol/Ethanol	K00001,K00121,K13953,K04072,K00128,K00149,K01895	[[K00001|K00121|K13953]]|[[K00001|K04072]&[K00128|K00149]&K01895]	Carbon Transformations	Alcohol	For a genome to have alcohol/ethanol oxidation capability, it should encode pyruvate decarboxylase, an alcohol dehydrogenase, an aldehyde dehydrogenase, and acetyl-CoA synthetase
Pyruvate	Pyruvate	K00163, K00174, K00656	K00163|K00174|K00656	Carbon Transformations	Short chain fatty acids	Pyruvate conversion to acetyl-CoA occurs via one of three enzyme complexes: pyruvate dehydrogenase K00163, 2-oxoacid ferredoxin oxidoreductase K00174, or formate-acetyltransferase K00656. Presence of any indicates potential for acetyl-CoA formation.
Acetate	Acetate	K00625, K00925, K01905, K01067	[K00625&K00925]|K01905|K01067	Carbon Transformations	Short chain fatty acids	Acetate production can occur via the phosphate acetyltransferase–acetate kinase route K00625 & K00925 or alternative ligase K01905 or hydrolase K01067 pathways. Either route yields acetate from acetyl-CoA.
Lactate	Lactate	K00016, K00101, K03778, K03777	K00016|K00101|K03778|K03777	Carbon Transformations	Short chain fatty acids	Lactate formation can occur through L-lactate dehydrogenases K00016, K00101 or D-lactate variants K03778, K03777. Presence of any indicates capacity for pyruvate reduction to lactate.
Butyrate	Butyrate	K00634, K00929, K01896	K00634&[K00929|K01896]	Carbon Transformations	Short chain fatty acids	Butyrate formation proceeds via phosphate butyryltransferase K00634 coupled with either butyrate kinase K00929 or medium-chain acyl-CoA synthetase K01896. Both steps are required for full conversion.
Propionate	Propionate	K19697, K01026	K19697&K01026	Carbon Transformations	Short chain fatty acids	Propionate formation requires both propionate kinase K19697 and propionate CoA-transferase K01026 for CoA-dependent conversion of intermediates to propionate.
Formate	Formate	K00656	K00656	Carbon Transformations	Short chain fatty acids	For a genome to have formate oxidation capability, it should encode formyl-CoA acetyltransferase
Glucose	Glucose	K02777 , K02779 , K02791 , K20118 , K18124 , K18125 , K00115 , K00117 , K19813 , K18851 , K00844 , K12407 , K00845 , K25026	K02777|K02779|K02791|K20118|K18124|K18125|K00115|K00117|K19813|K18851|K00844|K12407|K00845|K25026	Carbon Transformations	Monomeric Sugar	Presence of glucose metabolism indicates microbial potential to degrade, transform, or utilize glucose
Sucrose	Sucrose	K01182, K01203, K12047, K01187, K12316, K12317, K06617, K01193, K00695, K02810, K00690, K05341, K00689, K00692	K01182|K01203|K12047|K01187|K12316|K12317|K06617|K01193|K00695|K02810|K00690|K05341|K00689|K00692	Carbon Transformations	Monomeric Sugar	Presence of sucrose metabolism genes indicates microbial potential to degrade, transform, or utilize sucrose, a common plant-derived sugar that can fuel rhizosphere microbial activity.
Mannose	Mannose	K01809, K02793, K02794, K02795, K02796	[K01809|K02793|K02794|K02795]|K02796	Carbon Transformations	Monomeric Sugar	Presence of mannose metabolism genes indicates microbial potential to utilize mannose-containing carbohydrates, supporting turnover of plant- and microbial-derived sugar compounds.
Galactose	Galactose	K00849, K00965, K01784, K01785	[K00849|K00965|K01784]|K01785	Carbon Transformations	Monomeric Sugar	Presence of galactose metabolism genes indicates microbial potential to utilize galactose derived from plant polysaccharides, glycoproteins, or other organic matter inputs.
Fucose	Fucose	K00879, K01628, K01818	[K00879|K01628]|K01818	Carbon Transformations	Monomeric Sugar	Presence of fucose metabolism genes indicates microbial potential to utilize fucose-containing sugars, supporting transformation of plant-, microbial-, or mucilage-derived carbon compounds.
Xylose	Xylose	K00854, K01805, K00008, K00011, K00854, K05351, K17743, K00078, K14273, K14274, K14275	[K00854|K01805|K00008|K00011|K00854|K05351|K17743|K00078|K14273|K14274]|K14275	Carbon Transformations	Monomeric Sugar	Presence of xylose metabolism genes indicates microbial potential to utilize xylose, a major hemicellulose-derived sugar, linking plant polymer breakdown to downstream carbon metabolism.
Fructose	Fructose	K00008, K00045, K27924, K00007, K00844, K00847, K01805, K00846, K27475, K02768, K02769, K02770, K02771, K11194, K11195, K11196	K00008|K00045|K27924|K00007|K00844|K00847|K01805|K00846|K27475|K02768|K02769|K02770|K02771|K11194|K11195|K11196	Carbon Transformations	Monomeric Sugar	Presence of fructose metabolism genes indicates microbial potential to utilize fructose and related plant-derived sugars that can support rhizosphere microbial growth and carbon turnover.
Arabinose	Arabinose	K01804, K00011, K26066, K13873, K19660, K12446	K01804|K00011|K26066|K13873|K19660|K12446	Carbon Transformations	Monomeric Sugar	Presence of arabinose metabolism genes indicates microbial potential to utilize arabinose, a common component of hemicellulose and pectin-derived plant carbohydrates.
Ribose	Ribose	K00852	K00852	Carbon Transformations	Monomeric Sugar	Presence of ribose metabolism genes indicates microbial potential to utilize ribose, a pentose sugar derived from nucleic acid turnover, linking nucleotide degradation and microbial carbon recycling in the rhizosphere.
Rhamnose	Rhamnose	K01813, K01820, K18337	K01813|K01820|K18337	Carbon Transformations	Monomeric Sugar	Presence of rhamnose metabolism genes indicates microbial potential to utilize rhamnose-containing plant or microbial polysaccharides, supporting turnover of complex sugar inputs.
Maltose	Maltose	K05343 , K00691 , K06896 , K16146 , K00705 , K22451 , K12047 , K01187 , K12316 , K12317	K05343|K00691|K06896|K16146|K00705|K22451|K12047|K01187|K12316|K12317	Carbon Transformations	Monomeric Sugar	Presence of maltose metabolism genes indicates microbial potential to utilize maltose, a disaccharide released during starch degradation, supporting microbial turnover of plant storage carbohydrates.
Trehalose	Trehalose	K12437 , K02777 , K02819 , K01194 , K22934 , K05342 , K05343	K12437|K02777|K02819|K01194|K22934|K05342|K05343	Carbon Transformations	Monomeric Sugar	Presence of trehalose metabolism genes indicates microbial potential to utilize or synthesize trehalose, a stress-protective disaccharide found in microbial and plant tissues, linking carbon storage and osmotic stress responses to broader soil carbon cycling.
Alkanes	Alkanes	AlkB,AlmA_GroupI,AlmA_GroupIII,pBmoA,pBmoB,pBmoC,sBmoX,sBmoY,sBmoZ,CYP153,LadA_alpha,LadA_beta,LadB,PrmA,PrmC,AhyA,AssA	AlkB|AlmA_GroupI|AlmA_GroupIII|pBmoA|pBmoB|pBmoC|sBmoX|sBmoY|sBmoZ|CYP153|LadA_alpha|LadA_beta|LadB|PrmA|PrmC|AhyA|AssA	Carbon Transformations	Hydrocarbons	Presence of any aerobic alkane degradation genes per HMMs from CANT-HYD
Benzene/Toluene/Ethylbenzene/Xylene	Benzene/Toluene/Ethylbenzene/Xylene	TmoA_BmoA,TmoB_BmoB,TmoE,TomA1,TomA3,TomA4,AbcA_1,AbcA_2,EbdA,BssA,DmpO,CmdA,MAH_alpha,MAH_beta	TmoA_BmoA|TmoB_BmoB|TmoE|TomA1|TomA3|TomA4|AbcA_1|AbcA_2|EbdA|BssA|DmpO|CmdA|MAH_alpha|MAH_beta	Carbon Transformations	Hydrocarbons	Presence of any BTEX Benzene, Toluene, Ethylbenzene, Xylene degradation genes per HMMs from CANT-HYD
Polycyclic Aromatic Hydrocarbons	PolycyclicAromaticHydrocarbons	NmsA,NdoB,NdoC,non_NdoB_type,K27540	NmsA,NdoB,NdoC,non_NdoB_type,K27540	Carbon Transformations	Hydrocarbons	Presence of any PAH polycyclic aromatic hydrocarbon degradation genes per HMMs from CANT-HYD
ETC: Complex I NADH Dehydrogenase	ETC:ComplexINADHDehydrogenase	K00330,K00331,K00332,K00333,K13378,K13380,K00334,K00335,K00336,K00337,K00338,K00339,K00340,K00341,K00342,K15863,K00343,K05574,K05582,K05581,K05579,K05572,K05580,K05578,K05576,K05577,K05575,K05573,K05583,K05584,K05585,K03878,K03879,K03880,K03881,K03882,K03883,K03884,K03934,K03935,K03936,K03937,K03938,K03939,K03940,K03941,K03942,K03943,K03944,K03945,K03946,K03947,K03948,K03949,K03950,K03951,K03952,K03953,K03954,K03955,K03956,K11352,K11353,K03957,K03958,K03959,K03960,K03961,K03962,K03963,K03964,K03965,K03966,K11351,K00346,K00347,K00348,K00349,K00350,K00351	at_least(9, PRESENCE, [K00330,K00331,K00332,K00333,K13378,K13380,K00334,K00335,K00336,K00337,K00338,K00339,K00340,K00341,K00342,K15863,K00343])|at_least(7, PRESENCE, [K05574,K05582,K05581,K05579,K05572,K05580,K05578,K05576,K05577,K05575,K05573,K05583,K05584,K05585])|at_least(4, PRESENCE, [K03878,K03879,K03880,K03881,K03882,K03883,K03884])|at_least(6, PRESENCE, [K03934,K03935,K03936,K03937,K03938,K03939,K03940,K03941,K03942,K03943,K03944])|at_least(7, PRESENCE, [K03945,K03946,K03947,K03948,K03949,K03950,K03951,K03952,K03953,K03954,K03955,K03956,K11352,K11353])|at_least(6, PRESENCE, [K03957,K03958,K03959,K03960,K03961,K03962,K03963,K03964,K03965,K03966,K11351])|at_least(3, PRESENCE, [K00346,K00347,K00348,K00349,K00350,K00351])	Energy Conservation	ETC	Presence of a majority of an KEGG-derived Complex I variant, indicative of respiration
ETC: Complex II Succinate Dehydrogenase	ETC:ComplexIISuccinateDehydrogenase	K00239,K00240,K00241,K00242,K00244,K00245,K00246,K00247,K18859,K18860,K00234,K00235,K00236,K00237	at_least(4, PRESENCE, [K00239,K00240,K00241,K00242,K00244,K00245,K00246,K00247,K18859,K18860])|at_least(2, PRESENCE, [K00234,K00235,K00236,K00237])	Energy Conservation	ETC	Presence of a majority of an KEGG-derived Complex II variant, indicative of respiration
ETC: Complex III Cytochrome bc1 complex	ETC:ComplexIIICytochromebc1complex	K00412,K00413,K00410,K00411,K03891,K03889,K03890,K00414,K00415,K00416,K00417,K00418,K00419,K00420,K03886,K03887,K03888	at_least(4, PRESENCE, [K00412,K00413,K00410,K00411,K03891,K03889,K03890])|at_least(4, PRESENCE, [K00414,K00415,K00416,K00417,K00418,K00419,K00420])|at_least(2, PRESENCE, [K03886,K03887,K03888])	Energy Conservation	ETC	Presence of a majority of an KEGG-derived Complex III variant, indicative of respiration
ETC: Complex V ATPsynthase	ETC:ComplexVATPsynthase	K02111,K02112,K02113,K02114,K02115,K02108,K02109,K02110,K02117,K02118,K02119,K02120,K02121,K02122,K02107,K02123,K02124,K02132,K02133, K02136, K02134, K02135, K02137, K02126, K02127, K02128, K02138, K02129, K01549, K02130, K02139, K02140, K02141, K02131, K02142, K02143, K02125, K02145, K02147, K02148, K02149, K02150, K02151, K02152, K02144, K02154, K03661, K02155, K02146, K02153, K03662	at_least(4, PRESENCE, [K02111,K02112,K02113,K02114,K02115,K02108,K02109,K02110])|at_least(5, PRESENCE, [K02117,K02118,K02119,K02120,K02121,K02122,K02107,K02123,K02124])|at_least(10, PRESENCE, [K02132,K02133,K02136,K02134,K02135,K02137,K02126,K02127,K02128,K02138,K02129,K01549,K02130,K02139,K02140,K02141,K02131,K02142,K02143,K02125])|at_least(7, PRESENCE, [K02145,K02147,K02148,K02149,K02150,K02151,K02152,K02144,K02154,K03661,K02155,K02146,K02153,K03662])	Energy Conservation	ETC	Presence of a majority of an KEGG-derived Complex VI variant, indicative of respiration
Photosynthesis	Photosynthesis	K02703,K02706,K02689,K02690,K08928,K08929,K08940,K04036,K04037,K04038,K03403,K03404,K03405,K03406,K04035,K04040	[K02703|K02706|K02689|K02690|K08928|K08929|K08940] & at_least(2, PRESENCE, [K04036,K04037,K04038,K03403,K03404,K03405,K03406,K04035,K04040])	Energy Conservation	Photosynthesis	Presence of both a functional reaction core built from specific photosystem proteins and the ability to biosynthesize photosynthetic pigments from at least 2 of 9 key enzymes in the chlorophyll/bacteriochlorophyll synthesis pathway.
Hydrogenases	Hydrogenases	HMM-dependent	FeFe_groupA|FeFe_groupB|FeFe_groupC|FeFe_groupE|FeFe_group|NiFe_group1|NiFe_group2|NiFe_group3|NiFe_group4	Energy Conservation	Hydrogenases	Presence of any hydrogenase
Nitrogen Fixation	NitrogenFixation	EC:1.18.6.1 , EC:1.18.6.2 , K02591 , K02586 , K02588 , K00531 , K22897 , K22896 , K22898 , K22899	EC:1.18.6.1|EC:1.18.6.2|K02591|K02586|K02588|K00531|K22897|K22896|K22898|K22899	Nutrient Cycling	Nitrogen Fixation	Presence of any nitrogenase genes, indicating ability to fix nitrogen
Aerobic Ammonium Oxidation	AerobicAmmoniumOxidation	K28504, K10945, K10946, K10535	[K28504|K10945|K10946]&K10535	Nutrient Cycling	Nitrification	Aerobic ammonium oxidation converts ammonia to nitrite through sequential reactions catalyzed by ammonia monooxygenase and hydroxylamine oxidoreductase. Presence of one ammonia monooxygenase subunit set and hydroxylamine oxidoreductase indicates this capability.
