name	alias	rule	module	group	notes	gene_ids
Pectin	Pectin	[GH28|PL1|PL2|PL3|PL4|PL9|PL10|PL11|PL22|PL26] & [GH78|GH106|GH105|GH4|GH2|GH138|GH139|GH143] & [CE8|CE12]	Carbon Processing	Fiber Degradation	For a genome to have pectin degradation capability, it should encode: at least one backbone-cleaving hydrolase or lyase, one debranching or accessory enzyme, and one esterase for de-methylation or de-acetylation.	GH28, PL1, PL2, PL3, PL4, PL9, PL10, PL11, PL22, PL26, GH78, GH106, GH138, GH139, GH143, CE8, GH105, GH4, CE12, GH2
Core Mucin Glycan Degradation	CoreMucinGlycanDegradation	GH33 & [GH29|GH95] & GH20 & GH35	Carbon Processing	Mucin glycan degradation	"Core mucin glycan degradation requiring the minimum enzymatic toolkit to access mucin sugars. GH33 sialidases remove terminal sialic acid residues, GH29/GH95 fucosidases remove fucose, and GH20/GH35 target the core N-acetylglucosamine and galactose residues beneath. Represents the ""core GH-ome"" for mucin degradation identified across specialist gut microbes including Akkermansia muciniphila and Bacteroides spp"	GH33, GH29, GH95, GH20, GH35
Extended Mucin Glycan Degradation	ExtendedMucinGlycanDegradation	GH33 & [GH29|GH95] & [GH20|GH84|GH85|GH89] & [GH101|GH129] & [GH2|GH35|GH42|GH98]	Carbon Processing	Mucin glycan degradation	Extended mucin glycan degradation capturing capacity to degrade internal glycan structures beyond the terminal sugar layer. Requires sialidase and fucosidase for outer layer removal, plus at least one enzyme from each inner glycan group: GlcNAc/GalNAc-acting enzymes, N-acetylgalactosaminidases, and galactosidases. GH16 endo-acting O-glycanases are included in gene_ids as indicators of enhanced degradation capacity but not required by the rule. Genomes satisfying this rule likely represent specialist mucin degraders with capacity to access and ferment deeply buried glycan structures.	GH33, GH29, GH95, GH84, GH85, GH89, GH20, GH101, GH129, GH2, GH35, GH42, GH98, GH16
RS granule degradation	RSgranuledegradation	GH13 & [CBM20 | CBM26]	Carbon Processing	Resistant starch degradation	Core resistant starch degradation capacity requiring a GH13 α-amylase with granule-binding CBM domain. CBM20 and CBM26 facilitate physical attachment to semi-crystalline RS granule surfaces, enabling endo-acting hydrolysis of α-1,4 linkages. Characteristic of primary RS degraders including Ruminococcus bromii and RS-degrading Bifidobacterium adolescentis strains. Genomes satisfying this rule without extended capacity likely represent partial RS degraders dependent on cross-feeding from specialist primary degraders.	GH13, CBM20, CBM26
α‑glucan processing	α‑glucanprocessing	GH13 & [CBM20 | CBM26] & [GH31 | GH77]	Carbon Processing	Resistant starch degradation	Extended resistant starch degradation requiring GH13 α-amylase with granule-binding CBM (CBM20 or CBM26) plus accessory α-glucan processing: GH31 (α-glucosidase, removes α-1,6 branch points) or GH77 (4-α-glucanotransferase, chain rearrangement). Genomes satisfying this rule have fuller α-glucan processing capacity beyond initial granule attack, characteristic of thorough RS degraders such as Ruminococcus bromii and some Bifidobacterium strains.	GH13, GH57, GH77, GH31, CBM20, CBM26
Acetate-Final	Acetate-Final	Acetate-1 | Acetate-2 | Acetate-3	Fermentation	SCFA production	Union of all genes across Acetate-1, Acetate-2, and Acetate-3 pathways. Summary rule pointing to three acetate production routes.	K00163, K00161, K00162, K01568, K00627, K00174, K00175, K00169, K00170, K00172, K00189, K00171, K03737, K01905, K22224, K24012, K00138, K00128, K14085, K00149, K00129, K01895, K01913
	Acetate-1	[[Acetate-sub1 & [K00163 | K00161 | K00162] & K00627] | [K00174 | K00175] | [K00169 | K00170 | K00172 | K00189 | K00171 | K03737]] & [K01905 | K22224 | K24012]	Fermentation	SCFA production	Acetate via pyruvate decarboxylation (PDH/PFOR/PFL) → acetyl-CoA → phosphotransacetylase/acetate kinase or ADP-forming acetyl-CoA synthetase route.	K00163, K00161, K00162, K01568, K00627, K00174, K00175, K00169, K00170, K00172, K00189, K00171, K03737, K01905, K22224, K24012
	Acetate-2	Acetate-sub1 & K01568 & [K00138 | K00128 | K14085 | K00149 | K00129]	Fermentation	SCFA production	Acetate via aldehyde oxidation: pyruvate → acetaldehyde → acetate via aldehyde dehydrogenase, combined with acetyl-CoA intermediate step.	K00163, K00161, K00162, K01568, K00138, K00128, K14085, K00149, K00129
	Acetate-3	K01895 | K01913	Fermentation	SCFA production	Acetate via direct hydrolysis: acetyl-CoA hydrolase (K01895) or acetate/butyrate-CoA ligase (K01913).	K01895, K01913
	Acetate-sub1	[K00163 | K00161 | K00162 | K01568]	Fermentation	SCFA production	Pyruvate decarboxylation sub-module used across multiple acetate routes; covers PDH (K00163/K00161/K00162) and PFL (K01568).	K00163, K00161, K00162, K01568
Propionate-Final	Propionate-Final	Propionate-1 | Propionate-2 | Propionate-3	Fermentation	SCFA production	Union of all genes across Propionate-1 (methylmalonyl-CoA), Propionate-2 (acrylate/lactate), and Propionate-3 (propionyl-CoA) routes.	K01899, K01900, K01902, K01903, K01847, K01849, K01848, K00140, K05606, K11264, K03416, K18426, K01895, K01908, K01026, K20626, K20627, K00248, K00232, K01699, K13919, K13920, K13922, K01206, K01905, K22224, K24012, K13788, K00625, K15024, K13923, K00169, K00170, K00172, K00189, K00171, K00656, K00925, K00932, K19697
	Propionate-1	"[
						[K01899 | K01900 | K01902 | K01903 | K01899]
						& [K01847 | K01849 | K01848]
						& [K00140 | [K05606 & [K11264 | K03416 | K18426]]]
						& Propionate-sub2
					]
					| Propionate-sub1"	Fermentation	SCFA production	Propionate via methylmalonyl-CoA pathway: succinyl-CoA intermediates (K01899/K01900/K01902/K01903), methylmalonyl-CoA mutase (K01847/K01849/K01848), and propionyl-CoA carboxylase (K00140) or epimerase (K05606). Dominant route in Bacteroidota and Prevotella.	K01899, K01900, K01902, K01903, K01847, K01849, K01848, K00140, K05606, K11264, K03416, K18426, K01895, K01908
	Propionate-2	[K01026 & [K20626 | K20627] & [K00248 | K00232] & Propionate-sub2] | Propionate-sub1	Fermentation	SCFA production	Propionate via acrylate pathway: propionate-CoA transferase (K01026), lactoyl-CoA dehydratase (K20626/K20627), propionyl-CoA reductase (K00248/K00232). Characteristic of Megasphaera, Coprococcus.	K01026, K20626, K20627, K00248, K00232, K01895, K01908
	Propionate-3	[[K01699 | K13919 | K13920] & K13922 & Propionate-sub2] | Propionate-sub1	Fermentation	SCFA production	Propionate via propionyl-CoA pathway: propanediol dehydratase (K01699/K13919/K13920), propionaldehyde dehydrogenase (K13922). Found in Roseburia inulinivorans and related organisms.	K01699, K13919, K13920, K13922, K01895, K01908
	Propionate-sub1	"[
						[K01206 | K01905 | K22224 | K24012]
						| [
							[
								[K13788 | K00625 | K15024 | K13923]
								| [K00169 | K00170 | K00172 | K00189 | K00171]
								| K00656
							]
							& [K00925 | K00932 | K19697]
						]
					]"	Fermentation	SCFA production	Shared acetate/propionate intermediate sub-rule: phosphotransacetylase/acetate kinase route or aldehyde/ferredoxin oxidoreductase combined with kinase. Used as alternative completion route in Propionate-1/2/3.	K01206, K01905, K22224, K24012, K13788, K00625, K15024, K13923, K00169, K00170, K00172, K00189, K00171, K00656, K00925, K00932, K19697
	Propionate-sub2	[K01895 | K01908]	Fermentation	SCFA production	Propionyl-CoA → propionate completion step: AMP-forming propionate-CoA ligase (K01895) or propionyl-CoA synthetase (K01908).	K01895, K01908
Butyrate-Final	Butyrate-Final	Butyrate-1 | Butyrate-2 | Butyrate-3 | Butyrate-4	Fermentation	SCFA production	Union of all genes across Butyrate-1 (acetyl-CoA condensation), Butyrate-2 (glutarate), Butyrate-3 (lysine), and Butyrate-4 (4-aminobutyrate) routes.	K00626, K00074, K00022, K07516, K01825, K01782, K07514, K01692, K07515, K07511, K01715, K00209, K17829, K01034, K01035, K19709, K00135, K08324, K00139, K17761, K00043, K08318, K18120, K18121, K18122, K14534, K01580, K13524, K07250, K14268, K00823, K16871, K01843, K01844, K18011, K18012, K18013, K18014
	Butyrate-1	K00626 & [K00074 | K00022 | K07516 | K01825 | K01782 | K07514] & [K01692 | K01825 | K01782 | K07515 | K07514 | K07511 | K01715] & Butyrate-sub1	Fermentation	SCFA production	Butyrate via classical acetyl-CoA condensation: thiolase (K00626), hydroxybutyryl-CoA dehydrogenase, crotonase/enoyl-CoA hydratase, butyryl-CoA dehydrogenase (Butyrate-sub1), phosphotransbutyrylase/butyrate kinase (Butyrate-sub1 thiokinase).	K00626, K00074, K00022, K07516, K01825, K01782, K07514, K01692, K07515, K07511, K01715, K00209, K17829, K01034, K01035, K19709
	Butyrate-2	[K00135 | K08324 | K00135 | K00139 | K17761 | K08324] & Butyrate-sub2 & Butyrate-sub1	Fermentation	SCFA production	Butyrate via glutarate/lysine 5-aminopentanoate pathway: glutaconate CoA-transferase (K00135/K08324/K00139/K17761) plus lysine-2,3-aminomutase module (Butyrate-sub2) and terminal thiokinase (Butyrate-sub1).	K00135, K08324, K00139, K17761, K00043, K08318, K18120, K18121, K18122, K14534, K00209, K17829, K01034, K01035, K19709
	Butyrate-3	K01580 & [K13524 | K07250 | K14268 | K00823 | K16871] & Butyrate-sub2 & Butyrate-sub1	Fermentation	SCFA production	Butyrate via lysine pathway: L-lysine 2,3-aminomutase (K01580), butyrate biosynthesis from β-lysine (K13524/K07250/K14268/K00823/K16871), plus Butyrate-sub2 and Butyrate-sub1.	K01580, K13524, K07250, K14268, K00823, K16871, K00043, K08318, K18120, K18121, K18122, K14534, K00209, K17829, K01034, K01035, K19709
	Butyrate-4	"K01843
				& [K01844 | K18011]
				& K18012
				& K18013
				& [
					[K01034 | K01035]
					| [
						K18014
						& [K01692 | K01825 | K01782 | K07515 | K07514 | K07511]
						& [K00022 | K01825 | K01782 | K07514]
					]
				]
				& Butyrate-1"	Fermentation	SCFA production	Butyrate via 4-aminobutyrate (GABA) pathway: 4-aminobutyrate CoA-transferase (K01843), combined with Butyrate-1 pathway completion. Rare pathway found in Clostridiales.	K01843, K01844, K18011, K18012, K18013, K18014, K01692, K01825, K01782, K07515, K07514, K07511, K00022, K00626, K00074, K07516, K00209, K17829, K01034, K01035, K19709
	Butyrate-sub1	[K00209 | K17829] & [K01034 | K01035 | K19709]	Fermentation	SCFA production	Terminal butyrate release sub-module: butyryl-CoA dehydrogenase electron transfer (K00209/K17829) and phosphotransbutyrylase/butyrate kinase (K01034/K01035) or butyrate-CoA ligase (K19709).	K00209, K17829, K01034, K01035, K19709
	Butyrate-sub2	[K00043 | K08318 | K18120 | K18121] & K18122 & K14534	Fermentation	SCFA production	Glutarate to glutaryl-CoA sub-module for Butyrate-2 and Butyrate-3: glutarate CoA-transferase isoforms (K00043/K08318/K18120/K18121), glutaconyl-CoA decarboxylase beta subunit (K18122), and glutaryl-CoA dehydrogenase (K14534).	K00043, K08318, K18120, K18121, K18122, K14534
Formate	Formate	K00656	Fermentation	SCFA production	Pyruvate formate lyase (K00656) catalyzes pyruvate → acetyl-CoA + formate under anaerobic conditions. Formate is a major fermentation product in mixed-acid fermenters (E. coli, Prevotella spp.) and feeds cross-feeding networks with methanogens and acetogens.	K00656
Lactate-Final	Lactate-Final	Lactate-1 | Lactate-2 | Lactate-3	Fermentation	Lactate	Union of all genes across Lactate-1, Lactate-2, and Lactate-3 routes. Summarizes L-lactate and D-lactate production capacity.	K00844, K00886, K08074, K00918, K12407, K00845, K25026, K01810, K06859, K13810, K15916, K24182, K00850, K16370, K21071, K00895, K01623, K01624, K01622, K11645, K16305, K16306, K00134, K00150, K00927, K01837, K01834, K15633, K15634, K15635, K03103, K11389, K00131, K18978, K01689, K27394, K00873, K12406, K00016, K18124, K18125, K00115, K19813, K00117, K01053, K05308, K11395, K18127
	Lactate-1	"Lactate-sub1
				& [
					[
						[K00134 | K00150]
						& [K00927 | K01837]
						& [K01834 | K15633 | K15634 | K15635 | K01837]
					]
					| [
						[K11389 | K00131 | K18978]
						& [K01834 | K15633 | K15634 | K15635 | K01837]
					]
					| [
						[K00134 | K00150]
						& K01837 & K03103
					]
				]
				& [K01689 | K27394 | K00873 | K12406]
				& K00016"	Fermentation	Lactate	L-lactate via homolactic or heterolactic fermentation: glycolytic intermediate supply (Lactate-sub1), glycolytic redox (K00134/K00150, K00927, K01837) or phosphogluconate route (K11389/K00131/K18978), and L/D-lactate dehydrogenase (K01689/K27394/K00873/K12406) combined with LDH (K00016).	K00844, K00886, K08074, K00918, K12407, K00845, K25026, K01810, K06859, K13810, K15916, K24182, K00850, K16370, K21071, K00895, K01623, K01624, K01622, K11645, K16305, K16306, K00134, K00150, K00927, K01837, K01834, K15633, K15634, K15635, K03103, K11389, K00131, K18978, K01689, K27394, K00873, K12406, K00016
	Lactate-2	K00016	Fermentation	Lactate	L-lactate dehydrogenase (K00016) alone. Permissive rule detecting LDH presence as a proxy for lactate production or consumption capacity.	K00016
	Lactate-3	[K18124 | K18125 | K00115 | K19813 | K00117] & K01053 & K05308 & [K11395 | K18127] & K00016	Fermentation	Lactate	D-lactate via methylglyoxal pathway: methylglyoxal synthase (K18124/K18125), lactoylglutathione lyase (K01053), hydroxyacylglutathione hydrolase (K05308), and glyoxalase (K11395/K18127), combined with LDH (K00016).	K18124, K18125, K00115, K19813, K00117, K01053, K05308, K11395, K18127, K00016
	Lactate-sub1	"[K00844 | K00886 | K08074 | K00918 | K12407 | K00845 | K25026]
					& [K01810 | K06859 | K13810 | K15916]
					& [K24182 | K00850 | K16370 | K21071 | K00918 | K00895 | K21071]
					& [K01623 | K01624 | K01622 | K11645 | K16305 | K16306]"	Fermentation	Lactate	Upper glycolysis/pentose phosphate supply module shared across Lactate-1 and other fermentation rules. Encodes hexokinase, phosphoglucose isomerase, fructose bisphosphate aldolase, and triose phosphate isomerase for pyruvate supply.	K00844, K00886, K08074, K00918, K12407, K00845, K25026, K01810, K06859, K13810, K15916, K24182, K00850, K16370, K21071, K00895, K01623, K01624, K01622, K11645, K16305, K16306
Ethanol	Ethanol	[K01568 & [K00001 | K00121 | K13953]] | [[K00001 | K04072] & [K00128 |K00149] & K01895]	Fermentation	Ethanol	Ethanol production via two routes: (1) pyruvate → acetaldehyde → ethanol via bifunctional alcohol/aldehyde dehydrogenase (K01568) plus ADH (K00001/K00121/K13953); (2) acetaldehyde oxidation via aldehyde dehydrogenase (K04072) plus ALDH (K00128/K00149) and acetyl-CoA route (K01895).	K01568, K00001, K00121, K13953, K04072, K00128, K00149, K01895
Methanol	Methanol	K01051	Fermentation	Methanol	Pectinesterase (pme); releases methanol as byproduct of dietary pectin demethylation. Primary source of gut methanol	K01051
ReductiveAcetylCoAWoodLjungdahl	ReductiveAcetylCoAWoodLjungdahl	[K01491] & [K01938] & [K05299 & K15022 & K22015] & [K00198 | K07321 | K14138 | K00197 | K00194 | K15023]	Fermentation	Acetogenesis	Just used the Wood-L Pathway in the traits sheet - KB notes: call homoacetogenesis to allow calling discernment - KB might have RULE for this!!	K01491, K01938, K05299, K15022, K22015, K00198, K07321, K14138, K00197, K00194, K15023
Methyl-Coenzyme M Reductase	Methyl-CoenzymeMReductase	McrA |K00399 | K00400 | K00401 | K00402 | K03421 | K03422	Fermentation	Methanogenesis 	Excluded the exclusionary rules (not a sulfate reducer, etc)[Ask laura moore about this, formatting!!] * Maddie add taxonomy 	McrA, K00399, K00400, K00401, K00402, K03421, K03422
Hydrogen metabolism	Hydrogenmetabolism	NiFe_group1 | NiFe_group2 | NiFe_group3 | NiFe_group4 | FeFe_GroupA | FeFe_GroupB | FeFe_GroupC | FeFe_GroupE | FeFe_GroupF 	Fermentation	Hydrogen metabolism 	HMM-based annotation only. No KEGG K-numbers available for NiFe and FeFe hydrogenase groups; all detection relies on HMM profiles in DRAM2 (NiFe_group1–4, FeFe_GroupA/B/C/E/F). gene_ids intentionally left blank.	NiFe_group1, NiFe_group2, NiFe_group3, NiFe_group4, FeFe_GroupA, FeFe_GroupB, FeFe_GroupC, FeFe_GroupE, FeFe_GroupF
Succinate production	Succinateproduction	[K01610|K01958|K01959] & K00024 & [K01676|K01677|K01678] & [K00244|K00245|K00246|K00247]	Fermentation	Succinate	A genome is considered capable of succinate production via the reductive branch of the TCA pathway if it encodes: an anaplerotic carboxylation enzyme (PEP carboxykinase K01610 or pyruvate carboxylase K01958/K01959), malate dehydrogenase (K00024), fumarase (K01676–K01678), and fumarate reductase (K00244–K00247). This captures the PEP/pyruvate → oxaloacetate → malate → fumarate → succinate route described for gut anaerobes (e.g., Bacteroides/Prevotella) that produce succinate as a major fermentation end product in the colon.	K01610, K01958, K01959, K00024, K01676, K01677, K01678, K00244, K00245, K00246, K00247
Succinate consumption	Succinateconsumption	[K01899|K01900] & [K01847|K01848] & K05606	Fermentation	Succinate	Co-occurrence of succinyl-CoA synthetase (K01899, K01900), methylmalonyl-CoA mutase (K01847, K01848), and methylmalonyl-CoA epimerase (K05606) defines the core succinate → succinyl-CoA → methylmalonyl-CoA branch of the succinate-to-propionate pathway.	K01899, K01900, K01847, K01848, K05606
Oxygen - Low Affinity Use	Oxygen-LowAffinityUse	[CytochromeCOxidase|CytochromeAa3600MenaquinolOxidase|CytochromeOUbiquinolOxidase]&ETC50	Redox	Oxygen	Low affinity oxygen use indicates an aerobe and requires the presence of a low-affinity oxidase plus a majority of the elctron transport chain	K02275 , K02274 , K02276 , K15408 , K02277 , K02827 , K02826 , K02828 , K02829 , K02297 , K02298 , K02299 ,K02300 , K00330 ,K00331 , K00332 , K00333 , K00331 , K13378 , K13380,K00334,K00335,K00336,K00337,K00338,K00339,K00340,K00341 , K00342, K15863,K00343, K05574,K05582,K05581,K05579,K05572,K05580,K05578,K05576,K05577,K05575,K05573,K05583,K05584,K05585,K03945,K03946,K03947,K03948,K03949,K03950,K03951,K03952,K03953,K03954,K03955,K03956,K11352,K11353
Oxygen - High Affinity Use	Oxygen-HighAffinityUse	[percent50CytochromeBDUbiquinolOxidase|percent50CytochromeCOxidaseCBB3]&ETC50	Redox	Oxygen	High affinity oxygen use indicates a microaerophile and requires the presence of a high-affinity oxidase plus a majority of the elctron transport chain	K00425,K00426,K00424 , K22501,K00404 , K00405 , K15862,K00407,K00406 , K00374 , K02567 , K02568 ,  EC:1.9.6.1 ,K00330,K00331 , K00332 ,K00333 , K00331,K13378 ,K13380,K00334,K00335,K00336,K00337,K00338,K00339,K00340,K00341 , K00342,K15863,K00343,K05574,K05582,K05581,K05579,K05572,K05580,K05578,K05576,K05577,K05575,K05573,K05583,K05584,K05585,K03945,K03946,K03947,K03948,K03949,K03950,K03951,K03952,K03953,K03954,K03955,K03956,K11352,K11353, NarG
Dissimilatory nitrate reduction to ammonium DNRA	DissimilatorynitratereductiontoammoniumDNRA	[[K00370&K00371]|[K02567&K02568]]&[[K00362&K00363]|[K03385&K15876]]	Redox	Nitrogen reduction	DNRA reduces nitrate to ammonium through a two-step process: nitrate reduction via Nar or Nap systems, followed by nitrite reduction via Nrf or Nir enzymes. Presence of one nitrate reductase system and one nitrite reductase system indicates DNRA capability.	K00370, K00371, K00374, K02567, K02568, K00362, K00363, K03385, K15876
Nitrate reduction to Nitrite 	NitratereductiontoNitrite	HMM:NarG|[K02567&K02568]	Redox	Nitrogen reduction	Nitrate reduction to nitrite can occur through either the membrane-bound Nar system (K00370, K00371) or the periplasmic Nap system (K02567, K02568). Either system completes the nitrate transformation step.	K00370, K00371, K00374, K02567, K02568, HMM:NarG
Nitrite reduction to Nitric Oxide	NitritereductiontoNitricOxide	K00368|K15864	Redox	Nitrogen reduction	Nitrite reduction to nitric oxide (NO) is carried out by either NirS (K00368) or NirK (K15864). Presence of either gene indicates capacity for nitrate/nitrite reduction in denitrification.	K00368, K15864
Nitric Oxide reduction to Nitrous Oxide	NitricOxidereductiontoNitrousOxide	K04561|K15877	Redox	Nitrogen reduction	The conversion of nitric oxide (NO) to nitrous oxide (N₂O) is catalyzed by nitric oxide reductase, encoded by norB (K04561) in bacteria or CYP55 (K15877) in fungi. Presence of either gene indicates the capacity to perform this denitrification step	K04561, K15877
Nitrous Oxide reduction to Dinitrogen gas	NitrousOxidereductiontoDinitrogengas	K00376	Redox	Nitrogen reduction	The reduction of nitrous oxide (N₂O) to dinitrogen gas (N₂) is catalyzed by nitrous oxide reductase (nosZ, K00376). Presence of this gene indicates the potential for the final step of denitrification, converting greenhouse gas N₂O into inert atmospheric N₂.	K00376
Sulfate Reduction	SulfateReduction	[K00394&K00395]&[HMM:dsrA&HMM:dsrB]	Redox	Sulfate reduction	A genome that encodes adenylysulfate reductase and dissimilatory sulfite reductase	K00394, K00395, HMM:dsrA, HMM:dsrB
Tetrathionate Reduction	TetrathionateReduction	at_least(2, PRESENCE, [K08359, K08358, K08357])	Redox	Tetrathionate	Tetrathionate reductase complex (ttrABC): TtrA catalytic subunit (K08359), TtrB electron transfer subunit (K08358), TtrC membrane anchor (K08357). At least 2 of 3 subunits required to allow for incomplete genome recovery. Tetrathionate is generated in the inflamed gut from host-derived thiosulfate oxidation and is exploited as an electron acceptor by Salmonella enterica and other Enterobacteriaceae during inflammation, conferring a growth advantage. Rule mirrors Thiosulfate Reduction group — both are non-sulfate sulfur respiration pathways enriched during gut dysbiosis.	K08359, K08358, K08357
Fumarate respiration	Fumaraterespiration	[K00239|K00240|K00241|K00242] & [K00244|K00245|K00246|K00247]	Redox	Fumarate respiration	Presence of both succinate dehydrogenase (K00239–K00242) and fumarate reductase (K00244–K00247) indicates capacity for fumarate respiration, in which fumarate and succinate are interconverted via membrane-bound electron transport complexes. This allows microbes to use fumarate as an electron acceptor or to oxidize succinate as part of a truncated TCA/respiratory chain, a process that can act as a succinate-consuming pathway in the gut and influence luminal succinate levels and host responses	K00239, K00240, K00241, K00242, K00244, K00245, K00246, K00247
TMAO reduction	TMAOreduction	K03532 | [K07811 & K03533] | K07821	Redox	TMAO Reduction	TMAO reductase systems: TorA (K03532) or TorZ/BisZ (K07811) catalytic subunit paired with TorC (K03533) or TorY/BisC (K07821) cytochrome c subunit. Either complete reductase system (TorAC or TorZY) indicates anaerobic TMAO respiration capacity. TMAO is an abundant dietary-derived compound in fish and meat; gut Enterobacteriaceae reduce it to TMA, which is subsequently oxidized by the host liver to TMAO — connecting microbial metabolism to host cardiovascular risk.	K03532, K07811, K03533, K07821
Oxidative Stress Response	OxidativeStressResponse	K03782 | K04564 | K04565 | [K01920 & K01921] | K05910	Colonization & Persistence	Stress tolerance	Presence of oxidative stress response genes indicates microbial potential to detoxify reactive oxygen species through catalase-peroxidase, superoxide dismutase, glutathione biosynthesis, or NADH peroxidase. In the gut, oxidative stress tolerance is particularly relevant during host inflammatory responses where epithelial ROS production increases dramatically, creating oxidizing conditions that challenge strict anaerobes and favor facultative anaerobes and potential pathogens. Capacity for ROS detoxification supports microbial survival and persistence under inflammatory conditions associated with IBD and dysbiosis.	K03782, K04564, K04565, K01920, K01921, K05910
Sugar Compatible Solutes [Trehalose] 	SugarCompatibleSolutes[Trehalose]	[K00697 & K01087] | [K01236 & K06044] | K05343 | K05342	Colonization & Persistence	Stress tolerance	Presence of trehalose biosynthesis or metabolism genes indicates microbial potential to produce or cycle trehalose, an osmoprotectant that helps maintain cellular water balance under osmotic stress. In the gut, osmotic fluctuations occur in response to dietary changes, host secretions, and luminal water absorption — trehalose producers may be better buffered against these shifts and during host immune responses.	K00697, K01087, K01236, K06044, K05342, K05343
Sugar Compatible Solutes [Mannitol]	SugarCompatibleSolutes[Mannitol]	K00009	Colonization & Persistence	Stress tolerance	Presence of mannitol biosynthesis genes indicates microbial potential to produce mannitol, a sugar alcohol osmoprotectant supporting cellular protection under osmotic stress. In the gut, mannitol also serves as a fermentable substrate for other microbes, contributing to cross-feeding and SCFA production in the colon.	K00009
Sugar Compatible Solutes [Mannosylglycerate]	SugarCompatibleSolutes[Mannosylglycerate]	K05947	Colonization & Persistence	Stress tolerance	Presence of mannosylglycerate biosynthesis genes indicates microbial potential to produce mannosylglycerate, a compatible solute that supports osmotic and stress tolerance.	K05947
